IDs,Sub_ID,Extension,Baitset
TCGA-GN-A4U4-06,TCGA-GN-A4U4,6,Agilent Custom
TCGA-GN-A4U8-06,TCGA-GN-A4U8,6,Agilent Custom
TCGA-GN-A8LK-06,TCGA-GN-A8LK,6,Agilent Custom
TCGA-OD-A75X-06,TCGA-OD-A75X,6,Agilent Custom
TCGA-QB-A6FS-06,TCGA-QB-A6FS,6,Agilent Custom
TCGA-QB-AA9O-06,TCGA-QB-AA9O,6,Agilent Custom
TCGA-RP-A693-06,TCGA-RP-A693,6,Agilent Custom
TCGA-RP-A694-06,TCGA-RP-A694,6,Agilent Custom
TCGA-RP-A695-06,TCGA-RP-A695,6,Agilent Custom
TCGA-W3-A828-06,TCGA-W3-A828,6,Agilent Custom
TCGA-W3-AA1O-06,TCGA-W3-AA1O,6,Agilent Custom
TCGA-W3-AA1Q-06,TCGA-W3-AA1Q,6,Agilent Custom
TCGA-W3-AA1R-06,TCGA-W3-AA1R,6,Agilent Custom
TCGA-W3-AA1V-06,TCGA-W3-AA1V,6,Agilent Custom
TCGA-W3-AA1W-06,TCGA-W3-AA1W,6,Agilent Custom
TCGA-W3-AA21-06,TCGA-W3-AA21,6,Agilent Custom
TCGA-WE-A8JZ-06,TCGA-WE-A8JZ,6,Agilent Custom
TCGA-WE-A8K1-06,TCGA-WE-A8K1,6,Agilent Custom
TCGA-WE-A8K5-06,TCGA-WE-A8K5,6,Agilent Custom
TCGA-WE-A8ZM-06,TCGA-WE-A8ZM,6,Agilent Custom
TCGA-WE-A8ZQ-06,TCGA-WE-A8ZQ,6,Agilent Custom
TCGA-WE-A8ZX-06,TCGA-WE-A8ZX,6,Agilent Custom
TCGA-WE-A8ZY-06,TCGA-WE-A8ZY,6,Agilent Custom
TCGA-WE-AA9Y-06,TCGA-WE-AA9Y,6,Agilent Custom
TCGA-WE-AAA0-06,TCGA-WE-AAA0,6,Agilent Custom
TCGA-YD-A9TA-06,TCGA-YD-A9TA,6,Agilent Custom
TCGA-YG-AA3O-06,TCGA-YG-AA3O,6,Agilent Custom
TCGA-Z2-AA3S-06,TCGA-Z2-AA3S,6,Agilent Custom
TCGA-BF-AAP0-06,TCGA-BF-AAP0,6,Agilent Custom
TCGA-D3-A1Q1-06,TCGA-D3-A1Q1,6,Agilent Custom
TCGA-D3-A1Q4-06,TCGA-D3-A1Q4,6,Agilent Custom
TCGA-D3-A1Q7-06,TCGA-D3-A1Q7,6,Agilent Custom
TCGA-D3-A1QB-06,TCGA-D3-A1QB,6,Agilent Custom
TCGA-D3-A2JB-06,TCGA-D3-A2JB,6,Agilent Custom
TCGA-D3-A2JC-06,TCGA-D3-A2JC,6,Agilent Custom
TCGA-D3-A2JE-06,TCGA-D3-A2JE,6,Agilent Custom
TCGA-D3-A2JG-06,TCGA-D3-A2JG,6,Agilent Custom
TCGA-D3-A2JL-06,TCGA-D3-A2JL,6,Agilent Custom
TCGA-D3-A2JN-06,TCGA-D3-A2JN,6,Agilent Custom
TCGA-D3-A2JO-06,TCGA-D3-A2JO,6,Agilent Custom
TCGA-D3-A3C3-06,TCGA-D3-A3C3,6,Agilent Custom
TCGA-D3-A3C6-06,TCGA-D3-A3C6,6,Agilent Custom
TCGA-D3-A3C7-06,TCGA-D3-A3C7,6,Agilent Custom
TCGA-D3-A3C8-06,TCGA-D3-A3C8,6,Agilent Custom
TCGA-D3-A3CC-06,TCGA-D3-A3CC,6,Agilent Custom
TCGA-D3-A3CE-06,TCGA-D3-A3CE,6,Agilent Custom
TCGA-D3-A3CF-06,TCGA-D3-A3CF,6,Agilent Custom
TCGA-D3-A3MV-06,TCGA-D3-A3MV,6,Agilent Custom
TCGA-D3-A51E-06,TCGA-D3-A51E,6,Agilent Custom
TCGA-D3-A51N-06,TCGA-D3-A51N,6,Agilent Custom
TCGA-D3-A51T-06,TCGA-D3-A51T,6,Agilent Custom
TCGA-D3-A5GN-06,TCGA-D3-A5GN,6,Agilent Custom
TCGA-D3-A5GR-06,TCGA-D3-A5GR,6,Agilent Custom
TCGA-D3-A8GD-06,TCGA-D3-A8GD,6,Agilent Custom
TCGA-D3-A8GN-06,TCGA-D3-A8GN,6,Agilent Custom
TCGA-D3-A8GO-06,TCGA-D3-A8GO,6,Agilent Custom
TCGA-D3-A8GR-06,TCGA-D3-A8GR,6,Agilent Custom
TCGA-D9-A149-06,TCGA-D9-A149,6,Agilent Custom
TCGA-D9-A1JX-06,TCGA-D9-A1JX,6,Agilent Custom
TCGA-D9-A3Z3-06,TCGA-D9-A3Z3,6,Agilent Custom
TCGA-D9-A6E9-06,TCGA-D9-A6E9,6,Agilent Custom
TCGA-DA-A1HV-06,TCGA-DA-A1HV,6,Agilent Custom
TCGA-DA-A1HW-06,TCGA-DA-A1HW,6,Agilent Custom
TCGA-DA-A1I5-06,TCGA-DA-A1I5,6,Agilent Custom
TCGA-DA-A1I8-06,TCGA-DA-A1I8,6,Agilent Custom
TCGA-DA-A1IA-06,TCGA-DA-A1IA,6,Agilent Custom
TCGA-DA-A1IB-06,TCGA-DA-A1IB,6,Agilent Custom
TCGA-DA-A95V-06,TCGA-DA-A95V,6,Agilent Custom
TCGA-EB-A5SG-06,TCGA-EB-A5SG,6,Agilent Custom
TCGA-EB-A5SH-06,TCGA-EB-A5SH,6,Agilent Custom
TCGA-EE-A181-06,TCGA-EE-A181,6,Agilent Custom
TCGA-EE-A182-06,TCGA-EE-A182,6,Agilent Custom
TCGA-EE-A185-06,TCGA-EE-A185,6,Agilent Custom
TCGA-EE-A20B-06,TCGA-EE-A20B,6,Agilent Custom
TCGA-EE-A29H-06,TCGA-EE-A29H,6,Agilent Custom
TCGA-EE-A29M-06,TCGA-EE-A29M,6,Agilent Custom
TCGA-EE-A29P-06,TCGA-EE-A29P,6,Agilent Custom
